P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.625189928,0.702152764,0.804692407,0.550814799,0.626183094
0.439183692,0.649380298,0.771911813,0.363243989,0.38328442
0.328249825,0.466121615,0.519959422,0.286932749,0.306736471
0.248432569,0.377521337,0.459097788,0.197452304,0.223082954
0.092251586,0.183686116,0.18029677,0.096305105,0.096195387
0.155145851,0.21410655,0.22289012,0.154608075,0.154309932
0.111986773,0.14185615,0.198847183,0.090471268,0.084648472
0.690447508,0.772682177,0.71480354,0.784919392,0.730919448
0.419506137,0.473028906,2.128328306,0.102776176,0.161524912
0.507225852,0.588725609,0.567184691,0.54394428,0.588124945
0.373139078,0.53238778,0.808781842,0.299741256,0.297655145
0.134791059,0.264877643,0.274067338,0.126736597,0.136644855
0.3370073,0.427514049,0.457332771,0.325671602,0.338763262
0.275928524,0.362159728,0.572363581,0.2008504,0.181278218
0.354033719,0.484311683,0.551722715,0.330893791,0.329735159
0.277173777,0.414112362,0.443328961,0.259723727,0.257848654
0.375743764,0.499402025,0.611836331,0.336096837,0.377667852
0.327673293,0.485301542,0.507274408,0.318441934,0.324824086
0.219627736,0.39901099,0.49200951,0.20194739,0.208943752
0.276195811,0.314830319,0.437275912,0.246661252,0.285729843
0.188638225,0.33407223,0.322837606,0.204070624,0.172469267
0.347657734,0.530795063,0.536436901,0.34250746,0.339992955
0.401892586,0.779956231,0.874007273,0.332274735,0.403419494
0.240081946,0.493124125,0.496532864,0.236710612,0.233780032
0.167991617,0.494148246,0.485946631,0.183548771,1.410104543
0.490325923,0.624307457,0.758333189,0.411718348,0.311350193
0.121257685,0.254991565,0.294033003,0.102600114,0.08552682
0.102680628,0.316674949,0.303997168,0.119523119,1.021120011
0.053471637,0.301485972,0.283731906,0.12914205,1.844228565
0.429471464,0.890754692,0.999875658,0.352722416,0.339141895
0.139455437,0.480453792,0.476927468,0.144861099,0.139353366
0.227727873,0.311175021,0.324481225,0.23080423,0.354089581
0.337684728,0.508906999,0.510564883,0.336103786,0.818166202
0.650412955,0.79747887,2.918548287,0.426632917,0.411658397
0.046298813,0.072776853,0.089106395,0.042632677,0.043551909
0.695906651,0.859824305,1.511471022,0.423467038,2.222096335
0.396387849,0.433657113,0.470944042,0.380873996,0.479743619
0.275107888,0.61592114,0.61408092,0.277040767,0.292165947
0.248827161,0.47117032,0.584945568,0.249242277,0.267800113
0.413525561,0.490793987,0.614128973,0.438921933,0.662520628
