P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.31160915,0.547673557,0.508823017,0.324541694,0.328381751
0.341674305,0.557457619,0.446987859,0.368854509,0.374161491
1.091003942,1.37712843,1.68630538,0.871241503,0.809218981
0.252466156,0.450482335,0.445038232,0.25929713,0.341376696
0.18821239,0.327737606,0.368603555,0.193632497,0.187656499
0.921013075,0.975919677,0.992543988,0.906495147,0.925249915
0.043163617,0.384617326,2.778810957,0.065499037,0.224685485
0.456225414,0.596182714,0.563494353,0.473413869,0.544322322
0.114752614,0.176065063,0.243367334,0.116844773,0.116630845
0.36836407,0.483622781,0.490285406,0.362138578,0.371704674
0.135116375,0.244926879,0.290966345,0.134716063,0.134645719
0.231242053,0.358855814,0.371354885,0.223291396,0.301424169
0.177423101,0.320092879,2.423164963,0.178032253,0.183780668
0.275520401,0.422552131,0.534100558,0.229335849,0.179393076
0.338039898,0.500164995,0.815230402,0.310458839,0.30506611
0.164868286,0.26518102,0.314617022,0.148960765,0.149080273
