P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.346597287,0.463008554,0.438772454,0.387839117,0.396445906
0.070044445,0.140977529,0.138617489,0.096682425,0.083271345
0.180228448,0.30978081,0.290073304,0.213212935,0.665376769
0.434884322,0.611752329,1.163930687,0.278453164,0.275891318
0.353259851,0.534303728,0.629613599,0.306780981,0.304903843
0.55322124,0.717081299,2.110057522,0.277353749,0.251110626
0.277797698,0.393199577,0.512676106,0.226669312,0.228517389
0.041682253,0.057325515,0.123631016,0.020966777,0.011325315
0.122838997,0.335380132,0.424751117,0.08206135,0.196306534
0.02464367,0.684563349,0.437789416,0.08714302,0.050003129
0.336729919,0.473332063,0.473238928,0.336825181,0.357313449
0.043966501,0.333944588,0.342675899,0.038351454,0.042143894
0.352094209,0.47435389,0.498666084,0.34878251,0.347961741
0.20672386,0.418609956,0.398293182,0.249471291,0.367173297
0.296901484,0.462905825,0.507100064,0.26234748,0.278985639
0.237603168,0.422419466,0.394263604,0.276829307,0.780703127
0.211863619,0.402720953,0.394487837,0.222670644,0.225186866
0.263833548,0.685261515,0.69251722,0.25945701,0.259292319
0.034786827,0.338514857,0.378543374,0.023815878,0.024425786
0.550337661,0.641133065,0.744454125,0.49908015,0.51232613
0.292187583,0.411000352,0.61188709,0.239931079,0.250720278
0.821439966,0.916849989,1.502426252,0.570323355,0.682202495
0.450040742,0.681732177,1.002276069,0.289109155,0.368770875
0.051373885,0.06926495,0.091968653,0.038927011,0.041589802
0.208120327,0.860301531,0.668300931,0.304580515,0.238569481
0.402725863,0.561905974,0.9458489,0.268493094,0.228177375
0.10319113,0.137969168,0.240750493,0.062071296,0.050642284
0.248412524,0.418122939,-5.289840872,0.529002715,0.532241312
0.329177824,0.877691214,0.879861334,0.325636573,0.314032879
0.32915231,0.697655955,0.710731944,0.328199772,0.423430881
0.38080295,0.519554565,0.491648319,0.458986209,0.383009419
0.11910675,0.166480501,0.166369174,0.119223131,0.116745357
0.244557488,0.411669715,0.400649524,0.257935656,0.319842025
0.288146586,0.397548627,0.531226363,0.21377026,0.344347979
0.026124605,0.032476183,0.103563672,0.010004232,0.00634083
0.162260185,0.361368085,0.358672639,0.165151653,0.162169813
0.41758615,1.092476176,1.444473856,0.301926714,0.296602156
0.311979487,0.4412077,0.605251868,0.23807603,0.243227347
0.291052597,0.393495789,0.36973391,0.346478076,0.341990415
0.268980054,0.447960362,0.420307718,0.315810305,0.314766082
0.186211989,0.900840485,0.54954437,0.348510044,-0.839776029
0.082830533,0.367056265,0.335262153,0.099521842,0.00684454
0.29206455,0.357410635,0.857970573,0.169418985,0.138837882
0.389289157,0.524976991,0.55108383,0.370287508,0.405362144
0.039676415,0.259913992,0.259593458,0.087683338,0.042566052
0.30812751,0.513181671,0.551513083,0.299658039,0.300557727
0.04154183,0.169863667,0.156432211,0.087712588,0.054884564
0.166046774,0.214204005,0.493043206,0.076000448,0.26275614
0.135354897,0.362778659,0.360596038,0.139002842,0.132063607
0.61233934,0.853310475,0.888915149,0.585102098,0.613391988
0.481353974,0.682479757,0.688458846,0.478082556,0.480740519
0.256272838,0.86176034,0.825925352,0.278256728,0.233751561
0.224437904,0.467482854,0.490151691,0.231141388,0.226809426
0.598572331,0.78844012,0.819059886,0.574444933,0.60394795
0.392048543,0.604278818,0.603917129,0.396851048,0.391627222
0.539285097,0.716444897,0.729519581,0.524593612,0.547194415
0.023102601,0.041694457,0.038138291,0.028847807,0.022177815
0.136698185,1.0198199,0.505260993,0.416324773,-0.458333913
0.266427983,0.479952292,0.46600492,0.279465809,0.264191775
0.434219925,0.630517779,0.66496334,0.415234378,0.433740923
0.407656154,0.529293389,0.544997513,0.40051259,0.408414263
0.753672579,0.956664931,2.186456478,0.408052711,0.432906127
0.597151922,0.799405548,0.790576869,0.602402984,0.561699762
0.131947638,0.243277476,0.224569168,0.170332283,0.190482625
0.309462585,0.572447318,0.566691201,0.350985733,0.330102045
0.318507618,0.482236536,0.526058962,0.297521304,0.306001163
0.406728621,0.565449263,0.640990637,0.366814323,0.378588505
1.404920769,1.521340841,29.44000314,0.202399108,0.18439681
0.570344931,0.716943808,0.889095522,0.47010658,0.420000299
2.184731875,2.307014595,126.2689635,0.171693256,0.4195476
0.271616131,0.597327553,0.606198872,0.287170663,0.272529197
0.464111115,0.534477007,0.535645404,0.463820002,0.905612887
0.239588649,0.434083555,0.412349663,0.268122144,0.332133919
0.067798252,0.348901445,0.342925506,0.082535148,0.073652331
0.243637315,0.321820226,0.296593507,0.298176417,0.24831424
0.37274208,0.577621777,0.962824502,0.267092579,0.461351602
0.337632623,0.83933128,1.77774842,0.18552506,0.153368452
0.51270151,0.637284284,0.689774861,0.481420002,0.459050039
0.616999328,0.774609293,0.859372514,0.555853712,0.452412163
0.119801932,0.996294666,0.995971143,0.120349307,0.123968319
0.088820488,0.292576292,0.786399032,0.135516243,0.140388753
0.811744277,0.997126745,4.519216411,0.408839196,0.305666873
0.054979171,0.097480737,0.114932081,0.042973952,0.022434813
0.247866118,0.446597166,1.342403987,0.155159822,0.287552696
0.686563006,0.821474575,4.486591486,0.332664204,0.34289128
0.107825911,0.139047419,0.139658343,0.110666967,0.110536353
0.535814284,0.745782601,0.779343285,0.509271149,0.439262267
0.319333818,0.419827093,1.20334096,0.261599507,0.276635619
0.537783999,0.689253442,1.032516088,0.434704515,0.441452032
1.696123193,1.886758831,22.8214944,0.327520405,0.334555506
1.069821909,1.253731055,7.070769783,0.393855727,0.403859153
0.401597785,0.518331369,0.519572748,0.400371546,0.397182416
0.079387277,0.192327918,0.226581764,0.084687991,0.081882871
0.508854642,0.687189737,6.648761437,0.296409337,0.304022503
0.255102838,0.42284758,0.446725599,0.275281716,0.290815528
0.359462535,0.513373283,0.897588548,0.345534197,0.341031903
0.458777903,0.764803894,0.764021246,0.459703394,0.461712593
0.520218998,0.719385542,0.709460041,0.52975272,0.530186684
1.935897142,2.042518322,33.29069522,0.561942444,0.598823937
0.19486273,0.300607329,0.493005773,0.124932736,0.112754526
0.503328505,0.589407818,0.573449403,0.524963704,0.449569567
0.128092222,0.168062799,0.566695638,0.059689514,0.038817598
0.024626345,0.338689433,0.333915831,0.04450438,0.030128657
0.265214922,0.515840171,0.469607606,0.403753167,0.374150733
0.500470837,0.526625578,0.616077472,0.517558511,0.500470837
0.418678405,0.591214631,0.746491063,0.365738987,0.359542703
0.413630813,0.534862591,0.532085871,0.41628648,0.439887399
0.463438379,0.674206738,1.216071806,0.271146589,0.269722506
0.199572317,0.414817083,0.455281901,0.20442523,0.221775409
0.233153214,0.629938078,0.797572719,0.163051784,0.119816093
0.079120226,0.10466424,0.270926772,0.034451702,0.370839907
0.424761119,0.496748944,0.496918568,0.430981573,0.821614731
0.382546984,0.454021022,1.85421357,0.148918531,0.089301833
0.433989666,0.592948193,0.622823571,0.410052222,0.731212292
0.206826092,0.386569128,0.427701742,0.197713699,0.254765217
3.306416749,3.363414871,310.1888586,0.45318157,0.579526649
1.368759859,1.520126644,-0.089897443,1.968616255,2.302167621
0.674596444,0.748020303,2.92547775,0.448148331,0.494444306
0.294142005,0.428170997,0.429234092,0.352160304,0.766284062
0.014099364,0.039409523,0.051832917,0.023645017,0.034076095
0.440435975,0.637403253,0.736816413,0.434819085,0.429324297
0.082704435,0.190562679,0.189851712,0.095398494,0.084703831
0.564838489,0.760007058,4.889433987,0.320974388,0.327356431
0.362482691,0.955901623,0.944954678,0.369967272,0.380387373
0.309147841,0.371863579,0.515308508,0.285073424,0.285697459
0.076459318,0.136731512,0.131991274,0.084370123,0.105920159
