P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.208796228,0.449681256,0.455336506,0.203865871,0.19581437
0.215605032,0.312164193,0.284362117,0.24013595,0.262918604
0.087021937,0.12035868,0.108175769,0.107925071,0.136279291
0.446289252,0.518271502,0.960337286,0.310867212,0.288265593
0.429141544,0.607674223,0.595348995,0.443788111,0.510721516
0.126654973,0.215238644,0.287589886,0.105867997,0.12559594
0.179896001,0.274432126,0.349873829,0.163092577,0.1789006
0.29595668,0.371694322,0.466733107,0.268220474,0.294515697
0.348025572,0.482651901,0.677628823,0.300505642,0.300223837
0.841914475,1.057115514,4.942776697,0.331015147,0.399984207
0.319274611,0.397465681,0.39076112,0.326967743,0.317389102
0.095753612,0.222040648,0.210851793,0.134081498,0.254165227
0.371778785,0.473595661,0.417379166,0.365848559,0.371161134
0.205646315,0.354062637,0.34419493,0.219069038,0.206279139
0.369530544,0.537327634,0.538628776,0.368548355,0.381652024
0.082092991,0.108622524,0.198530281,0.047192434,0.167300423
0.344894755,0.533503926,2.536116578,0.235071511,0.269050297
0.28249995,0.391439675,0.371916379,0.324588799,0.262685388
0.243480637,0.40515067,0.392743623,0.267623526,0.226211801
0.270213152,0.353521819,0.391276557,0.249746238,0.327529502
0.112984701,0.14696572,0.753837872,0.039884801,0.023396116
0.17786478,0.345207798,0.333077004,0.210378671,0.164674125
0.201844931,0.290222733,0.282917818,0.20371188,0.191914456
0.313913105,0.471739949,0.648517149,0.277910688,0.425381377
0.691442577,0.90905134,12.0002187,0.196638285,0.168928147
1.138159828,1.283023523,17.40433521,0.270269896,0.198948273
0.546371184,0.760038139,0.660894467,0.598040759,0.681902396
0.348068228,0.456142689,0.481326975,0.336915416,0.608990196
0.407255278,0.569560981,0.574209238,0.402086328,0.601256713
0.025631906,0.081549337,0.081580038,0.025637718,0.071182759
0.183582214,0.355196795,0.335996326,0.197797307,0.436459348
0.17129233,0.329288487,0.31948992,0.225210993,0.224304138
0.207797542,0.316559126,0.465485217,0.156965237,0.155801102
0.073038977,0.264467933,0.247871724,0.088130985,0.093839415
0.013880227,0.036349123,0.032526262,0.026541921,0.031202918
0.406193267,0.526192714,0.513953301,0.420179151,0.4432571
0.390122164,0.512772999,1.428037574,0.22483815,0.225249999
0.052301474,0.130791295,0.266872063,0.07501913,0.119757301
0.028344961,0.052853053,0.089767385,0.020369704,0.02099761
0.485206199,0.803791785,0.597075469,0.615233726,0.778859773
0.201794229,0.323252663,0.372730751,0.186439079,0.189318374
0.375657726,0.520515232,0.544256937,0.366445017,0.433782419
0.31425679,0.45046785,0.965054316,0.265128249,0.409314925
0.135307761,0.265180479,0.315314456,0.103337103,0.003843047
0.105097202,0.237633299,0.660337275,0.14519122,1.171076397
0.267612256,0.502671908,0.501113822,0.269296588,0.451595524
0.130294784,0.247520531,0.331963127,0.160853552,0.292119581
0.148963517,0.444249059,0.458989601,0.137249805,-0.145848072
0.310376296,0.479792518,0.489508252,0.319540505,0.325718785
0.351412865,0.481321158,1.734596674,0.244122254,0.256016688
0.155092879,0.313457081,0.305314386,0.16282721,0.175455766
0.401725092,0.534653558,0.549916179,0.420969007,0.402615536
0.307656165,0.474948963,1.497117556,0.289460792,0.330617949
