P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.099760281,0.302078958,0.298637497,0.10532784,0.100145211
0.013445508,0.030538729,0.030126264,0.014179616,0.013236897
0.146775768,0.185694042,0.172143321,0.166224578,0.175724911
0.100998701,0.24080492,0.257761075,0.087363191,0.107093379
0.352889944,0.614606912,0.611080291,0.356989185,0.346761342
0.066360636,0.118363069,0.118417494,0.066308771,0.066463354
0.112316866,0.153209653,0.154900843,0.110672362,0.11482603
0.316653024,0.466655374,0.478573394,0.30522072,0.252914407
0.170037775,0.232754175,0.561539937,0.140816565,0.142273992
0.039169877,0.054380476,0.06317121,0.032209945,0.018793055
0.122762487,0.20951854,0.196239489,0.179224304,0.144247051
0.14734534,0.261272709,0.460365207,0.143253284,0.166480863
0.429085169,0.593972647,1.176268752,0.330085465,0.317691277
0.006372561,0.019091989,0.019974382,0.009414953,0.007228403
0.069298636,0.631878493,0.624932957,0.104637548,0.080009454
0.134349996,0.223940428,0.217325293,0.171814759,0.145543851
0.23429253,0.34596203,0.354199656,0.237008337,0.2340666
0.898554411,1.035077946,6.279780572,0.276765635,0.353943145
0.396737623,0.464456861,0.674321179,0.333659844,0.393668492
0.260006478,0.34741134,0.43024981,0.234768936,0.258737495
0.329244171,0.43699863,0.561641127,0.285470759,0.327224442
0.012942188,0.02229135,0.022127132,0.013144124,0.012806178
0.007969223,0.35566542,0.354180533,0.009383239,0.005969339
0.009763229,0.34789823,0.347473608,0.010191828,0.007247516
0.000770463,0.001651827,0.001634605,0.000788933,0.000735393
0.521479994,0.783722804,0.980776234,0.485851655,0.498142042
0.404029883,0.467974896,0.474654549,0.397607709,0.380624279
0.257834429,0.629220457,0.651265563,0.239309084,0.218216014
0.139875386,0.189327002,0.222249141,0.113973732,0.077847864
0.057546989,0.15623469,0.14992387,0.076877743,0.06506682
0.277264054,0.345276514,0.333453079,0.291947665,0.27616927
0.161028286,0.285848215,0.296723994,0.151045461,0.139895123
0.203643309,0.246990937,0.231473795,0.22641938,0.20170648
0.004337468,0.006862655,0.006244151,0.005532703,0.00425784
0.130632854,0.213906795,0.228219051,0.118515185,0.103634216
0.244669621,3.432781058,3.438493317,0.240140552,0.234887071
0.760033848,6.281316215,6.267463583,0.776758813,0.808453755
0.710539624,1.067589253,1.114106625,0.675636331,0.833741103
0.427565611,0.571193913,0.575426067,0.431868161,0.503728353
0.173048827,0.349992828,0.339035295,0.19922323,0.272585341
0.083034157,0.153585059,0.147442136,0.09186009,0.183139734
0.231884689,0.394524507,0.413801269,0.223602826,0.279209797
0.310507063,0.458100833,0.564960919,0.284730897,0.346703889
0.172598859,0.288470029,0.321979073,0.153917669,0.142598808
0.098040169,0.461619219,0.448414802,0.1149274,0.041741942
0.447792394,0.734770482,0.985974629,0.301824464,0.706574434
0.471727658,0.560977945,0.542494679,0.501117092,0.431457575
0.702091902,0.858429325,0.890754278,0.672016745,0.814905528
0.389910243,0.497405077,0.55863995,0.373337881,0.443127123
0.446635158,1.282905915,1.313297277,0.422621583,0.52693382
0.278684041,0.405813578,0.420659674,0.265485129,0.339525546
0.208310297,0.339453928,0.515916316,0.200454321,0.211700231
0.131710109,0.335744573,0.338369972,0.13029722,0.141763367
0.302454265,0.536267531,0.562413103,0.283032576,0.366324457
0.364324234,1.256490107,1.365917437,0.282373218,0.785351589
0.243034752,0.367517462,0.371804095,0.238934625,0.267558594
0.523920493,0.671003273,0.682378838,0.511274388,0.552640573
0.144385819,0.203033577,0.277678808,0.101393436,0.345043553
0.176854247,0.697080281,0.692086572,0.179123993,0.175999684
0.033390044,0.110295046,0.103713079,0.05665117,1.24927774
0.501074867,0.642700511,1.132529,0.375829101,0.357497732
0.290558034,0.484645419,0.663945046,0.245802445,0.360177422
0.151926563,0.260402386,0.34826937,0.133210069,0.23495409
0.440509735,0.573132361,0.568822723,0.444770403,0.549657436
0.030877199,0.174729857,0.307297861,0.057093376,0.407463392
0.343556473,0.468323064,0.812407491,0.281609423,0.414317097
0.196508275,0.350320715,0.396432785,0.172443118,0.166834332
0.277266979,0.597988697,0.528786828,0.43827585,1.602929164
0.007158995,0.016467473,0.016490871,0.00714586,0.007828761
0.028477757,0.060957467,0.057051275,0.051063645,0.582616257
0.057432524,0.136113658,0.136175834,0.057416395,0.057467534
0.327117398,2.615661396,3.185569711,0.182085396,0.107764861
0.027477086,0.602223992,0.60917285,0.020163398,0.156413121
0.254744721,0.402869182,0.475366077,0.231981402,0.277768333
0.082224754,0.16287917,0.152109225,0.108875538,0.29678887
0.034863697,0.076262777,0.077754898,0.033510652,0.041276509
0.14845166,0.254188897,0.220188586,0.23040535,0.955687578
0.386214101,0.565792305,0.560044145,0.397348361,0.379918229
0.118553408,0.404276839,0.366691102,0.198493312,1.162163469
0.378366675,0.531848629,0.737294799,0.320068322,0.39105412
0.116120421,0.926562024,0.917334978,0.124999157,0.274398594
0.191079826,1.397085176,1.736435477,0.105376135,0.733349921
0.05694756,0.128715575,0.165339858,0.036891189,0.397502719
0.601722981,0.628700637,0.617633896,0.615019132,0.568195836
0.048663103,0.076119423,0.069097007,0.06189237,0.087368502
0.076635573,0.100878414,0.100125901,0.078243357,0.078545708
0.331189584,0.459472744,0.453609822,0.340623599,0.321671544
0.243451841,0.422496995,0.427683411,0.23872349,0.225326574
0.250500461,0.344719939,0.343683902,0.251887917,0.259995885
0.336142536,0.455304374,0.45513077,0.336380168,0.33579101
0.332609968,0.486913006,0.485811883,0.334127856,0.330741955
0.181369112,0.309845244,0.30943427,0.182036292,0.180789543
0.20249058,0.399724561,0.390702568,0.231067963,0.220119842
0.308542826,0.451425128,0.451454954,0.308512597,0.306255824
0.317670156,0.479749638,0.478678048,0.318862922,0.314004404
0.390245698,0.548235302,0.54476094,0.394253683,0.383552974
0.373231989,0.561156481,0.688500105,0.289247798,0.28338224
0.400887323,0.553864162,0.574430937,0.388496495,0.383840613
0.388582873,0.520680858,0.573646214,0.358413503,0.350605563
0.092081824,0.128784538,0.189017499,0.0614708,0.064775584
0.038460261,0.044705742,0.047476449,0.03638452,0.036480677
0.510171498,0.69050322,0.718755964,0.490036522,0.491026901
0.162968537,0.330123089,0.324072001,0.169757043,0.188582529
0.024720434,0.02947796,0.051995309,0.015265463,0.018229074
0.277580669,0.859873233,0.807077235,0.365947786,0.338413806
0.387544861,0.476082054,0.485587752,0.3814961,0.383604341
0.220168809,0.523399322,0.573047247,0.194654399,0.19155625
0.101296325,0.120328361,0.127667841,0.094892785,0.098458681
0.019609815,0.295040437,0.293059424,0.03069659,0.034956962
0.072791629,0.171910292,0.177861753,0.067518822,0.127139038
0.11372844,0.18331969,0.176747317,0.126120737,0.12656985
0.060313808,0.091644766,0.085862224,0.082658541,0.092526554
0.463418721,1.597831113,1.911755443,0.44594617,0.447401898
0.041403567,0.082675577,0.08829775,0.036823846,0.040351292
