P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.427147435,0.612501793,0.963357001,0.312717435,0.292518834
0.565862489,0.658522295,0.778989096,0.499841719,0.521786146
0.170890158,0.373343067,0.291452629,0.200985543,0.215202451
0.211791444,0.427609045,0.38552538,0.229361885,0.238088238
0.010831922,0.019315995,0.019538107,0.010738412,0.010769715
0.311944037,0.637856648,0.369848577,0.439547246,0.259352811
0.291545061,0.370016862,0.360199934,0.301601599,0.290755744
0.482131966,0.610869055,0.567979662,0.489226762,0.478747102
0.167729074,0.845813466,0.371921877,0.326178598,0.141250263
0.448079775,0.632032787,0.630644561,0.444815936,0.448255548
0.077610455,0.191755429,0.192986626,0.077948033,0.077579422
0.406507576,0.550348248,0.545905073,0.410737513,0.360745572
0.380202161,0.874251674,1.207079693,0.258437233,0.203849009
0.122396157,0.218251101,0.26911108,0.095109782,0.076781169
0.031790435,0.133491915,0.123554051,0.090024176,0.466957895
0.005789905,0.024497054,0.02706663,0.014396195,0.184265564
0.039876156,0.159840136,0.159860739,0.039904092,0.114325914
0.005440428,0.011074891,0.010145821,0.007408501,0.135948792
0.241203289,0.276139604,0.639448348,0.163798829,0.138535047
0.157213984,0.264695661,0.908740085,0.107825018,0.271591986
0.246132301,0.428976468,0.420068297,0.256996986,0.241373808
0.018947605,0.044390383,0.068394694,0.025429265,0.039707644
0.023192332,0.042660742,0.042896981,0.026829675,0.031370778
0.312250111,0.823230501,0.805184753,0.33283196,0.358232779
0.401761641,0.545934126,0.696650057,0.358279187,0.354299652
0.193273328,0.363047204,0.368795881,0.214019366,0.206897233
0.085071718,0.548235797,0.142847084,0.240026641,0.34395444
0.88580543,1.068737455,13.53233173,0.294423314,0.406865643
0.240135368,0.312956537,1.840717148,0.088522785,0.06762303
0.374426286,0.467786564,0.481185897,0.383918539,0.56901345
0.079292938,0.164886566,0.158131434,0.111429506,0.072503631
0.186627738,0.291012692,0.287096371,0.191184989,0.072558972
0.13903222,0.233326309,0.290413003,0.123261412,0.123326746
