P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.013368716,0.026331028,0.028772228,0.012850362,0.012959026
0.110394227,0.216632797,0.219286907,0.108528947,0.107527737
0.005322315,0.016382748,0.014978,0.008245543,0.02410668
0.344602814,0.583758148,0.521891257,0.480916753,0.425160348
0.117821056,0.279792004,0.277821725,0.120570619,0.125905182
0.060534482,0.21436466,0.202281406,0.11096143,0.114292548
0.069140496,0.121283971,0.130149098,0.075966082,0.317316738
0.242211322,0.326932448,0.295139601,0.306872527,0.260489707
0.00836826,0.01653162,0.015549494,0.009819116,0.083699979
0.457514285,0.535233886,0.522302566,0.474357048,0.483624172
0.138358561,0.489218881,-9.78298001,0.347800032,0.337954467
0.109527874,0.255994762,0.227995777,0.118554254,0.120448261
