P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.723670441,0.857171734,0.921143791,0.672829158,0.756961805
0.182524793,0.266368649,0.311343233,0.195698837,0.185744218
0.113806787,0.131416266,0.122830101,0.125393306,0.204232981
0.333783033,0.504695223,0.612529894,0.302981722,0.329005043
0.241491333,0.245776634,0.79585197,0.129687044,0.125268934
0.219355316,0.241490715,0.234167028,0.22800724,0.227433887
0.484374544,0.634844364,0.71187424,0.444115297,0.435505145
0.061105405,0.080237091,0.076222705,0.066567653,0.066012109
0.189550119,0.406717389,0.452930709,0.171851674,0.17141916
0.178434987,0.50855814,0.584301322,0.133161077,0.241975131
0.121307771,0.183250314,0.172832205,0.140775681,0.155765476
0.215744054,0.37532519,0.338487877,0.309175044,0.875971648
0.733653786,0.925578595,1.252726083,0.564146214,0.48419899
0.374946608,0.547083166,0.658697513,0.303470417,0.322847323
0.089972459,0.177622078,0.162839562,0.110281105,0.146281701
0.198703362,0.300545064,0.294376839,0.208704942,0.20304112
0.223147631,0.293380701,0.287602309,0.23106599,0.232941772
0.215327465,0.26001028,0.311097732,0.19347469,0.194650916
0.22346473,0.315873102,0.341600102,0.217717377,0.218756291
0.005793768,0.009780068,0.009234963,0.007008115,0.006291386
0.11761833,0.167147949,0.170552456,0.126152603,0.120153407
0.072374137,0.095354456,0.108919048,0.068955754,0.069468726
0.307161955,0.411229338,0.494584146,0.258908921,0.273069198
0.062054468,0.366713828,0.372958265,0.061246356,0.061270415
0.04917844,0.10302019,0.094548669,0.063707694,0.057444947
0.254019517,0.385105581,0.381731401,0.264078461,0.256225503
0.060355602,0.117815582,0.115976939,0.063804034,0.061677067
0.213421296,0.424949736,0.429715691,0.212926214,0.212685628
0.340631111,0.421628488,0.407630407,0.368269342,0.359090983
0.414397171,0.774669314,0.762771367,0.42942764,0.417801398
0.211530877,0.309510272,0.314882045,0.213249817,0.212108848
0.111388782,0.268261354,0.261275779,0.133010745,0.127072753
0.265674561,0.420971947,0.418981075,0.272674271,0.281913628
0.307417271,0.386005914,0.381204145,0.313906246,0.31952274
0.239812514,0.443803513,0.433404456,0.264741197,0.287205409
0.375562171,0.532359919,0.709764198,0.300922213,0.288378615
0.095800442,0.34743353,0.347140087,0.09669901,0.104363611
0.362649593,0.52778471,0.509633156,0.384842733,0.465069766
0.325533624,0.60047515,0.600841212,0.348456974,0.326081807
0.182902192,0.379790004,0.379890502,0.182803011,0.193237111
0.15711284,0.231932781,0.231850162,0.157197335,0.175435892
0.051837906,0.085403216,0.084454732,0.053132336,0.060202647
0.021145893,0.0332274,0.040473761,0.016685869,0.024292217
0.115145322,0.21237537,0.211220533,0.116483077,0.115105131
0.149418648,0.193844625,0.177984993,0.184195645,0.188415331
0.372142805,0.612745117,1.072667691,0.21350557,0.223434704
0.044916992,0.096284153,0.091761423,0.05233996,0.051827347
0.08566304,0.165336527,0.153725429,0.105633075,0.105182394
0.276365932,0.440498051,0.473548847,0.2583569,0.36630919
0.482379767,0.726376818,0.734016255,0.476192938,0.498360453
0.345076447,0.4855602,0.488638063,0.34355266,0.351732751
0.077019406,0.120242465,0.142061007,0.062924924,0.053913113
0.121248143,0.269946597,0.272530369,0.120104034,0.122760194
0.046898502,0.15231187,0.151583213,0.096281237,0.050943231
0.130662247,0.276160028,0.288746285,0.128975693,0.128633472
0.617000154,0.825375395,2.888436103,0.266189535,0.394309871
0.213641823,0.446760215,0.433797572,0.233134309,0.206649464
0.396777134,0.648366839,0.721203545,0.356753367,0.370510933
0.24286455,0.405131708,0.397258254,0.252220151,0.22673693
0.33302642,0.38934264,0.369682899,0.360512574,0.332252838
0.07763242,0.099366577,0.095205636,0.087564949,0.078396507
0.025378065,0.054499612,0.055402592,0.024751685,0.025959594
0.346641413,0.46616604,0.453556916,0.385378698,0.361068065
0.146678058,0.324027967,0.317823783,0.153766281,0.135864844
0.18120196,0.477383752,0.484570629,0.174308061,0.200953431
0.492125463,0.664353456,0.569878431,0.526618359,0.480528891
0.326624636,0.448776891,0.4464461,0.329797654,0.322432064
0.193313882,0.578689796,0.582697633,0.185102901,0.194725265
0.148954808,0.228789403,0.229905154,0.149787289,0.149325071
0.188714119,0.351201387,0.348663589,0.192429776,0.185957544
0.168189827,0.260028477,0.259233829,0.171289048,0.167879163
0.306240649,0.43871006,0.51042987,0.270705453,0.305315274
0.127003919,0.234448582,0.232403272,0.129419978,0.122163801
0.26039721,0.407969834,0.402989711,0.279157309,0.289821349
0.29913964,0.416493779,0.476897516,0.273910627,0.28054336
0.285193227,0.381100836,0.477835557,0.234075889,0.256509447
0.111803205,0.148635151,0.243862824,0.074443751,0.084851618
0.154724645,0.267918956,0.25118058,0.239710489,0.246163093
0.10504726,0.153726424,0.214941087,0.075464126,0.074550078
0.329913627,0.455725481,0.45341241,0.332392617,0.512189328
1.002824513,1.41567561,13.2826504,0.497665622,0.513274428
0.413906638,0.517138906,0.487894428,0.45749182,0.418427858
0.150471657,0.254196648,0.277364371,0.140209535,0.169959443
0.111078187,0.168090772,0.151588553,0.169662806,1.205506329
0.417547355,0.539180754,0.597705043,0.375994406,0.308372627
0.297576614,0.319839153,0.313681181,0.305237289,0.351239996
0.47070956,0.596744554,0.831813921,0.380747632,0.340924799
0.592951844,0.792385471,1.066664347,0.487241101,0.372419241
0.148138216,0.21598302,0.62846118,0.080644624,0.065097357
0.452047857,0.636762934,0.639943445,0.44885483,0.443179406
0.195991528,0.345998048,0.34493139,0.197225679,0.197287322
0.143152053,0.27422378,0.269107472,0.161135138,0.155918833
0.050867179,0.107308485,0.136463036,0.04481868,0.045513235
0.083049153,0.11587409,0.140843287,0.071197806,0.371772918
0.39128929,0.49736882,0.481758263,0.416667427,0.350321109
0.614928408,0.670140943,0.643240194,0.685445208,1.123190578
0.0612641,0.142062115,0.144530895,0.079009619,0.065888428
0.1177784,0.516132101,0.526554065,0.141763262,0.1177784
0.329328529,0.567474579,0.568253616,0.328731146,0.330115723
0.270885164,0.500344084,0.500289475,0.280591665,0.280786302
0.051799428,0.243514274,0.232840279,0.091779164,0.141711577
0.161042753,0.234223503,0.219930909,0.183280326,0.284535968
0.307656713,0.595319903,0.685606218,0.262963645,0.44340771
0.386250009,0.533038164,0.671137999,0.312931734,0.252755738
0.193642889,0.385861849,0.484421846,0.19404777,0.191702304
0.096322969,0.191391071,0.192569333,0.096611197,0.107921801
0.578193255,0.625206271,2.225091698,0.417405929,0.520462714
0.192497973,0.240137611,0.415112296,0.159813994,0.158769788
0.225394198,0.335684562,0.365447508,0.245363211,0.233026992
0.421407189,0.722486127,0.731956342,0.41329709,0.391598447
0.215779496,0.298818449,0.540963673,0.146297464,0.146988409
0.445700322,0.64532531,0.655177167,0.436988538,0.428172797
0.165113453,0.39587939,0.377149854,0.218326212,0.384364019
0.05125004,0.367368241,0.281800478,0.096208832,0.096498141
0.345893077,0.660829441,0.680350984,0.329928504,0.294314909
0.301778795,0.526461817,0.622248076,0.248327058,0.185041795
0.030162234,0.090257032,0.082747981,0.042738522,0.224750125
0.407067309,0.674465927,0.888161142,0.297546337,0.234151349
0.194734238,0.315768756,0.309347211,0.204617291,0.878106808
0.051699256,0.072302608,0.065847624,0.066748882,0.408402218
0.122310462,0.253807637,0.291936977,0.121846522,0.179525219
0.056661456,0.116943775,0.206589368,0.044223341,0.09391147
0.247101759,0.929013035,0.929987766,0.246117568,0.247033794
0.273999289,0.478125402,0.837204288,0.143377609,0.134840408
0.054549531,0.170879099,0.155070957,0.116718891,0.122129595
0.108999767,0.157715197,0.161073848,0.107016689,0.106405647
0.33915635,0.397839061,0.36725463,0.433168719,9.571849489
0.239454966,0.404104515,0.407785669,0.242581284,0.867169471
0.156512107,0.339918758,0.333466371,0.164153145,0.165830161
0.125176893,0.388110467,0.475054574,0.145803492,0.174811036
0.194571924,0.403698372,0.420876001,0.174238722,0.174243841
0.196845726,0.438416241,0.426989136,0.220814857,2.358757725
0.370022476,0.574848695,0.571320703,0.373258949,0.402995647
0.461621052,0.607953687,0.655080528,0.43409818,0.428680991
0.270957029,0.489399365,0.491608708,0.270994195,0.300676049
0.25203623,0.407186539,0.445815269,0.235744933,0.238945014
