P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.626276669,0.780324488,0.799059019,0.610120847,0.636228679
0.447932887,0.538510876,0.559617774,0.435458566,0.435078832
0.262312047,0.419077609,0.590960207,0.180069878,0.176220443
0.114606252,0.179096126,0.282475417,0.068995015,0.058060346
0.073350399,0.085217606,0.086441255,0.072871692,0.072882867
0.889842153,0.974558582,0.964413452,0.912537005,1.149995238
0.159030815,0.261192517,0.289478801,0.181000706,0.388917654
0.196749282,0.223749942,0.298819902,0.170367675,0.169049328
0.055407723,0.063003779,0.063996535,0.054652332,0.054691917
0.1634471,0.389210652,0.430392495,0.14853926,0.148220182
0.191945029,0.454020194,0.53375457,0.144829352,0.258751304
0.286420041,0.890044698,0.707494436,0.369303134,0.556440564
0.452983143,0.561696926,0.911442386,0.329568041,0.287066952
0.17480724,0.355257682,0.391778258,0.149469233,0.134481903
0.204219045,0.263238016,0.32416919,0.17209976,0.193748551
0.196301742,0.260709188,0.260538126,0.196476727,0.235311538
0.464598734,0.889208765,0.848967088,0.525114134,0.503139651
0.220545264,0.388532529,0.389278904,0.221640547,0.225733778
0.516284805,0.722797299,0.945394229,0.382065551,0.442337099
0.130897134,0.284239601,0.278336707,0.138909894,0.140810261
0.332775304,0.555612739,0.55985431,0.33308461,0.333364096
0.497418349,0.579709794,0.56276292,0.523951976,0.52103079
0.099467917,0.148057727,0.151002566,0.097259686,0.097946436
0.12179627,0.181917746,0.239784601,0.131684665,0.123440776
0.066163745,0.089356847,0.106474647,0.058703414,0.061794345
0.25629389,0.391234388,0.374660626,0.281483974,0.271496603
0.502193322,0.748185593,0.931311951,0.394935321,0.427486411
0.03048434,0.044630909,0.048667434,0.030493537,0.030105705
0.211384717,0.342073324,0.332506449,0.224821829,0.216861484
0.253299261,0.372620876,0.406605731,0.229338228,0.24209545
0.105039232,0.163124358,0.157999337,0.113388574,0.110717159
0.446700529,0.556585778,0.576788525,0.429121145,0.442110518
0.045262159,0.080319554,0.073657361,0.056356976,0.052761088
0.182338886,0.283391091,0.296133435,0.181883296,0.181216286
0.268294623,0.322990708,0.362852404,0.240204647,0.225288889
0.156290825,0.233684391,0.233570607,0.15697935,0.15780306
0.177964434,0.279282604,0.269346204,0.201112943,0.222726081
0.309622287,0.45072625,0.509776496,0.301457794,0.304752406
0.248786275,0.363535509,0.36705667,0.24570711,0.238999912
0.300495511,0.360059522,0.377952186,0.28592172,0.260442955
0.192348369,0.407657129,0.382759244,0.229768958,0.193832491
0.223459758,0.412417859,0.411522086,0.224385672,0.188588761
0.300483549,0.376377077,0.366147001,0.31358995,0.38301949
0.338843125,0.466491818,0.468395014,0.34079034,0.339297343
0.102411488,0.11584075,0.116659713,0.106045338,0.113468277
0.121349225,0.157449013,0.16168566,0.117456998,0.121481007
0.478040668,0.654376563,0.782435485,0.408122641,0.404029848
0.213557049,0.295286169,0.286457367,0.266605701,0.255640487
0.206212268,0.436793946,0.452237851,0.194169428,0.19474928
0.105855631,0.154813395,0.178955245,0.092631431,0.09279987
0.150590092,0.255750003,0.270193637,0.148991159,0.201528557
0.0381001,0.063803425,0.066519259,0.036093648,0.044093187
0.094654577,0.291725037,0.274648576,0.104619977,0.054264302
0.134565231,0.260493978,0.282321958,0.11967584,0.110027052
0.017327756,0.046103686,0.046240469,0.017376934,0.017394882
0.08922417,0.188049245,0.187979152,0.109060185,0.090114749
0.31515875,0.47826662,0.798551931,0.183988501,0.244694199
0.050947062,0.081198149,0.32671566,0.027919425,0.035871319
0.270393771,0.516961451,0.539803984,0.254549034,0.280545609
0.402336057,0.634482089,0.776376326,0.340213564,0.360944772
0.029725455,0.064556227,0.067237641,0.032646313,0.030333265
0.191082146,0.424747075,0.426850518,0.189380455,0.196137953
0.082349608,0.09858444,0.093761966,0.089594917,0.082153433
0.191974254,0.398359238,0.392988816,0.197338612,0.192555324
0.675351355,0.925532382,0.906593286,0.698893749,0.661988617
0.259821554,0.502117031,0.504515619,0.257768532,0.264237896
0.30002925,0.460949899,0.463361566,0.297658563,0.306414892
0.349451915,0.53192118,0.538984621,0.343770465,0.350728101
0.179826006,0.34840302,0.338888826,0.183752931,0.150693569
0.180717617,0.372246491,0.364813003,0.189092742,0.17912637
0.197030499,0.327409573,0.339254824,0.188007289,0.203299475
0.188859995,0.298695209,0.316298867,0.176091871,0.192234373
0.194019196,0.3801659,0.389791233,0.186061894,0.2048383
0.193424424,0.303589248,0.3084578,0.191015826,0.194128049
0.225225475,0.385102425,0.393842815,0.217127677,0.225052952
0.155170614,0.25530597,0.257435189,0.155906943,0.155219796
0.208234111,0.36624563,0.361706349,0.21347534,0.197356001
