P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.437086239,0.633247955,0.625194,0.445501631,0.453293354
0.330622987,0.491227239,1.1323305,0.184732482,1.478354062
0.32864957,0.426298342,0.407146489,0.369010303,0.781679142
0.478331255,0.733142924,0.880582881,0.411950884,0.380077988
0.349660671,0.544771475,0.540938145,0.35411547,0.352716996
0.457317534,0.53679857,0.515600826,0.491538908,0.713686023
0.008405849,0.028132954,0.028760962,0.013609878,0.014018213
0.201940315,0.542714204,0.510755717,0.270117132,0.320937065
0.383652067,0.62019834,0.620208253,0.384800808,0.388628882
0.107974975,0.1774326,0.220347859,0.0862711,0.071469308
0.051187231,0.095282021,0.090847163,0.063441909,0.05438534
0.383324201,0.519025961,0.957936258,0.263708105,0.35451976
0.095067379,0.109077133,0.100047879,0.122463789,0.102993735
0.10996716,0.205364798,0.19442503,0.123515119,0.171477897
0.114569104,0.197875433,0.309455542,0.11315775,0.242937143
0.013609347,0.032152351,0.030829843,0.016973105,0.017400308
0.280727231,0.413513547,0.375503726,0.367300587,0.371693442
0.301719556,0.42451976,0.412476609,0.447605743,4.829231351
0.1755276,0.462261434,0.442665063,0.213983879,0.795121656
0.309884037,0.557464511,0.723449338,0.220467069,0.805464419
0.104105691,0.158109249,0.144062448,0.144646721,0.651370616
0.321035688,0.491183036,0.604773943,0.315334163,0.318389663
0.070530486,0.080600715,0.170280949,0.036127189,0.038925988
0.748866814,0.862252545,1.276592718,0.594028349,0.563474152
0.411156366,0.47063913,3.25110333,0.175124345,0.185529139
0.190952567,0.371753451,0.348615762,0.239369571,0.250606505
0.057918377,0.080978033,0.070819679,0.092211921,0.954355116
0.159350439,0.262401152,0.336273504,0.176019769,0.32167659
0.157535463,0.555233978,0.540264951,0.217462636,0.244735328
0.078159118,0.382892883,0.368846704,0.139794024,0.140281364
0.104815847,0.221977551,0.217009179,0.110953578,0.085280895
0.187278477,0.483596315,0.469001199,0.199619418,0.21158618
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
